"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Winning Trade %: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Avg Losing Trade %: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Winning Trade %: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Largest Losing Trade %: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","comment","__Strategy Direction","__Length","__OverSold","__OverBought","__HTF","__SuperTrend Multiplier","__SuperTrend Period","__Take profit1","__Timezones: Src","__-> Dst","__Srart From ","__End To       ","__Select Session Days","__Mon","__Tue","__Wed","__Thu","__Fri","__Sat","__Sun","__Session Start","__:","__Session End ","__1. ADX","__2. MACD","__3. Bar direction=Trade direction","__4. Rising Volume","__5. Rising/Falling MA","__Bars","__6. High/Low Filter","__Lookback","__7. Maximum close change (％) allowed on entry","__8. Minimum close change (％) allowed on entry","__9. RSI OS/OB","__10. MA","__11. EMA Difference","__Take Profit Type","__Stop Loss Type","__ Profit ％    ","__ Stop ％  ","__ Profit ＄    ","__ Stop ＄  ","__ ATR Period  ","__ Multiplier","__ Trailing ％  ","__ R:R    1:","__Fixed RR","__ HH / LL   ","__  LO / HI ","__Add ％","__ MA Stop","__ Len","__ Step","__ 𝐄𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐒𝐨𝐮𝐫𝐜𝐞  ","__ Long Deals    ","__ Short Deals","__ Wait End Deal ","__ Reverse Deals","__ ReEntry Deal  ","__ ReOpen Deal","__Loss Streak   ","__Win Streak   ","__Row Loss InDay","__DrawDown ％","__InDay Loss ％ ","__Daily Trades  ","__Weekly Trades","__     Order Size","__Use Net Profit","__​🇪​​🇶​​🇺​​🇮​​🇹​​🇾​","__​🇸​​🇮​​🇿​​🇪","__​🇨​​🇴​​🇳​​🇹​​🇷​​🇦​​🇨​​🇹​​🇸​","__Take Profit LV 1","__﻿","__Take Profit LV 2","__Take Profit LV 3","__Take Profit LV 4","__Take Profit LV 5","__Stop Loss","__𝐓𝐈𝐏 𝐅𝐨𝐫 𝐓𝐏","__ SL 0 Position","__Breakeven on TP","__ CoolDown # Bars","__Dashboard Size","__Performance Summary","__Monthly Performance"
-65.15,-0.65,-35.19,-0.35,-29.97,-0.30,132.22,1.32,75.69,0.76,56.53,0.57,197.38,1.97,110.88,1.11,86.50,0.87,42.46,0.43,100.95,1.01,-348.11,-3.48,-1.48,-0.83,0.67,0.68,0.65,0,0,0,0,0,89.53,47.75,41.78,60.00,32.00,28.00,0,0,0,23.00,11.00,12.00,37.00,21.00,16.00,38.33,34.38,42.86,-1.09,-0.11,-1.10,-0.11,-1.07,-0.11,5.75,0.58,6.88,0.69,4.71,0.47,5.33,0.54,5.28,0.53,5.41,0.54,1.08,1.30,0.87,27.27,2.75,27.27,2.75,9.40,0.94,11.31,1.13,7.49,0.75,11.31,1.13,18.00,15.00,22.00,15.00,14.00,15.00,20.00,15.00,27.00,0,0,0,"Changed "" Multiplier"": 4.5 => 2.5.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-57.20,-0.57,-52.93,-0.53,-4.27,-0.04,190.05,1.90,68.16,0.68,121.89,1.22,247.25,2.47,121.10,1.21,126.16,1.26,46.10,0.46,86.99,0.87,-345.77,-3.46,-1.10,-0.75,0.77,0.56,0.97,0,0,0,0,0,53.80,23.90,29.90,36.00,16.00,20.00,0,0,0,14.00,5.00,9.00,22.00,11.00,11.00,38.89,31.25,45.00,-1.59,-0.16,-3.31,-0.33,-0.21,-0.02,13.58,1.36,13.63,1.37,13.54,1.36,11.24,1.13,11.01,1.10,11.47,1.15,1.21,1.24,1.18,28.45,2.85,15.76,1.58,28.45,2.85,17.85,1.78,17.64,1.77,17.85,1.78,125.00,62.00,175.00,163.00,66.00,216.00,100.00,60.00,141.00,0,0,0,"Changed "" R:R    1:"": 1.2 => 1.7.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.50,3.00,1.70,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-19.47,-0.19,-52.36,-0.52,32.89,0.33,219.20,2.19,79.38,0.79,139.81,1.40,238.67,2.39,131.74,1.32,106.92,1.07,55.97,0.56,72.81,0.73,-346.65,-3.47,-0.76,-0.64,0.92,0.60,1.31,0,0,0,0,0,61.38,28.46,32.92,41.00,19.00,22.00,0,0,0,21.00,8.00,13.00,20.00,11.00,9.00,51.22,42.11,59.09,-0.47,-0.05,-2.76,-0.27,1.50,0.15,10.44,1.04,9.92,0.99,10.75,1.08,11.93,1.19,11.98,1.20,11.88,1.19,0.88,0.83,0.91,22.04,2.20,16.80,1.69,22.04,2.20,19.47,1.95,19.47,1.95,15.85,1.59,84.00,44.00,118.00,90.00,49.00,115.00,77.00,40.00,123.00,0,0,0,"Changed "" Multiplier"": 4.5 => 5.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,5.00,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-9.67,-0.10,-24.96,-0.25,15.29,0.15,218.96,2.19,103.89,1.04,115.06,1.15,228.63,2.29,128.85,1.29,99.77,1.00,51.73,0.52,74.93,0.75,-347.50,-3.47,-0.50,-0.47,0.96,0.81,1.15,0,0,0,0,0,77.84,38.95,38.90,52.00,26.00,26.00,0,0,0,25.00,11.00,14.00,27.00,15.00,12.00,48.08,42.31,53.85,-0.19,-0.02,-0.96,-0.10,0.59,0.06,8.76,0.88,9.44,0.95,8.22,0.82,8.47,0.85,8.59,0.86,8.31,0.83,1.03,1.10,0.99,27.44,2.75,27.44,2.75,17.35,1.73,15.84,1.59,15.84,1.59,11.94,1.20,42.00,30.00,54.00,56.00,40.00,68.00,29.00,22.00,37.00,0,0,0,"Changed "" Multiplier"": 4.5 => 4.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-65.15,-0.65,-35.19,-0.35,-29.97,-0.30,132.22,1.32,75.69,0.76,56.53,0.57,197.38,1.97,110.88,1.11,86.50,0.87,42.46,0.43,100.95,1.01,-346.91,-3.47,-1.48,-0.83,0.67,0.68,0.65,0,0,0,0,0,89.53,47.75,41.78,60.00,32.00,28.00,0,0,0,23.00,11.00,12.00,37.00,21.00,16.00,38.33,34.38,42.86,-1.09,-0.11,-1.10,-0.11,-1.07,-0.11,5.75,0.58,6.88,0.69,4.71,0.47,5.33,0.54,5.28,0.53,5.41,0.54,1.08,1.30,0.87,27.27,2.75,27.27,2.75,9.40,0.94,11.31,1.13,7.49,0.75,11.31,1.13,18.00,15.00,22.00,15.00,14.00,15.00,20.00,15.00,27.00,0,0,0,"Changed "" Multiplier"": 4.5 => 2.5.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-17.83,-0.18,-16.05,-0.16,-1.77,-0.02,169.96,1.70,85.70,0.86,84.26,0.84,187.79,1.88,101.76,1.02,86.03,0.86,41.43,0.41,65.71,0.66,-340.93,-3.41,-0.87,-0.66,0.91,0.84,0.98,0,0,0,0,0,82.28,40.42,41.86,55.00,27.00,28.00,0,0,0,25.00,11.00,14.00,30.00,16.00,14.00,45.45,40.74,50.00,-0.32,-0.03,-0.59,-0.06,-0.06,-0.01,6.80,0.68,7.79,0.78,6.02,0.60,6.26,0.63,6.36,0.64,6.15,0.62,1.09,1.23,0.98,27.38,2.75,27.38,2.75,12.63,1.26,9.32,0.93,8.97,0.90,9.32,0.93,28.00,23.00,33.00,36.00,30.00,40.00,22.00,18.00,27.00,0,0,0,"Changed "" Multiplier"": 4.5 => 3.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.20,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-8.31,-0.08,-42.42,-0.42,34.11,0.34,212.67,2.13,91.88,0.92,120.79,1.21,220.98,2.21,134.30,1.34,86.68,0.87,52.88,0.53,59.43,0.59,-350.59,-3.51,-0.48,-0.47,0.96,0.68,1.39,0,0,0,0,0,74.79,35.93,38.86,50.00,24.00,26.00,0,0,0,27.00,10.00,17.00,23.00,14.00,9.00,54.00,41.67,65.38,-0.17,-0.02,-1.77,-0.18,1.31,0.13,7.88,0.79,9.19,0.92,7.11,0.71,9.61,0.96,9.59,0.96,9.63,0.96,0.82,0.96,0.74,27.43,2.75,27.43,2.75,16.15,1.62,17.66,1.77,17.66,1.77,13.25,1.33,48.00,37.00,57.00,55.00,41.00,63.00,39.00,35.00,45.00,0,0,0,"Changed "" R:R    1:"": 1.2 => 1.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.50,3.00,1.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
14.15,0.14,-34.61,-0.35,48.76,0.49,235.35,2.35,99.82,1.00,135.53,1.36,221.20,2.21,134.43,1.34,86.77,0.87,61.74,0.62,56.44,0.56,-350.59,-3.51,-0.33,-0.35,1.06,0.74,1.56,0,0,0,0,0,74.86,35.97,38.89,50.00,24.00,26.00,0,0,0,27.00,10.00,17.00,23.00,14.00,9.00,54.00,41.67,65.38,0.28,0.03,-1.44,-0.14,1.88,0.19,8.72,0.87,9.98,1.00,7.97,0.80,9.62,0.96,9.60,0.96,9.64,0.96,0.91,1.04,0.83,27.46,2.75,27.46,2.75,17.92,1.79,17.68,1.77,17.68,1.77,13.28,1.33,50.00,38.00,61.00,60.00,42.00,70.00,39.00,35.00,45.00,0,0,0,"Changed "" R:R    1:"": 1 => 1.1.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.50,3.00,1.10,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-27.97,-0.28,-49.63,-0.50,21.66,0.22,229.88,2.30,76.52,0.77,153.36,1.53,257.86,2.58,126.15,1.26,131.70,1.32,59.96,0.60,70.44,0.70,-351.17,-3.51,-1.24,-0.78,0.89,0.61,1.16,0,0,0,0,0,50.84,22.43,28.41,34.00,15.00,19.00,0,0,0,11.00,4.00,7.00,23.00,11.00,12.00,32.35,26.67,36.84,-0.82,-0.08,-3.31,-0.33,1.14,0.12,20.90,2.10,19.13,1.92,21.91,2.20,11.21,1.12,11.47,1.15,10.98,1.10,1.86,1.67,2.00,40.81,4.09,22.77,2.28,40.81,4.09,17.86,1.78,17.65,1.77,17.86,1.78,145.00,68.00,206.00,240.00,86.00,328.00,100.00,62.00,135.00,0,0,0,"Changed "" R:R    1:"": 1 => 2.4.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.50,3.00,2.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-38.46,-0.38,-37.33,-0.37,-1.13,-0.01,202.28,2.02,77.15,0.77,125.13,1.25,240.74,2.41,114.48,1.14,126.26,1.26,50.11,0.50,71.74,0.72,-355.95,-3.56,-0.93,-0.70,0.84,0.67,0.99,0,0,0,0,0,50.86,22.44,28.42,34.00,15.00,19.00,0,0,0,13.00,5.00,8.00,21.00,10.00,11.00,38.24,33.33,42.11,-1.13,-0.11,-2.49,-0.25,-0.06,-0.01,15.56,1.56,15.43,1.55,15.64,1.57,11.46,1.15,11.45,1.15,11.48,1.15,1.36,1.35,1.36,31.98,3.21,17.80,1.79,31.98,3.21,17.85,1.78,17.66,1.77,17.85,1.78,130.00,63.00,183.00,174.00,66.00,241.00,103.00,61.00,141.00,0,0,0,"Changed "" R:R    1:"": 1 => 1.9.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.50,3.00,1.90,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-14.29,-0.14,-36.28,-0.36,21.98,0.22,220.48,2.20,83.92,0.84,136.56,1.37,234.78,2.35,120.20,1.20,114.58,1.15,41.84,0.42,69.07,0.69,-355.75,-3.56,-0.99,-0.71,0.94,0.70,1.19,0,0,0,0,0,62.89,28.47,34.42,42.00,19.00,23.00,0,0,0,20.00,8.00,12.00,22.00,11.00,11.00,47.62,42.11,52.17,-0.34,-0.03,-1.91,-0.19,0.96,0.10,11.02,1.10,10.49,1.05,11.38,1.14,10.67,1.07,10.93,1.09,10.42,1.04,1.03,0.96,1.09,23.23,2.32,17.72,1.78,23.23,2.32,17.66,1.77,17.66,1.77,14.42,1.44,82.00,44.00,112.00,92.00,50.00,120.00,72.00,40.00,104.00,0,0,0,"Changed "" R:R    1:"": 1 => 1.4.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.50,3.00,1.40,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-38.46,-0.38,-37.33,-0.37,-1.13,-0.01,202.28,2.02,77.15,0.77,125.13,1.25,240.74,2.41,114.48,1.14,126.26,1.26,50.11,0.50,71.74,0.72,-353.90,-3.54,-0.93,-0.70,0.84,0.67,0.99,0,0,0,0,0,50.86,22.44,28.42,34.00,15.00,19.00,0,0,0,13.00,5.00,8.00,21.00,10.00,11.00,38.24,33.33,42.11,-1.13,-0.11,-2.49,-0.25,-0.06,-0.01,15.56,1.56,15.43,1.55,15.64,1.57,11.46,1.15,11.45,1.15,11.48,1.15,1.36,1.35,1.36,31.98,3.21,17.80,1.79,31.98,3.21,17.85,1.78,17.66,1.77,17.85,1.78,130.00,63.00,183.00,174.00,66.00,241.00,103.00,61.00,141.00,0,0,0,"Changed "" R:R    1:"": 1 => 1.9.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.50,3.00,1.90,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-47.50,-0.48,-40.19,-0.40,-7.31,-0.07,180.88,1.81,88.45,0.88,92.42,0.92,228.38,2.28,128.65,1.29,99.74,1.00,39.58,0.40,90.45,0.90,-353.32,-3.53,-0.80,-0.63,0.79,0.69,0.93,0,0,0,0,0,77.71,38.86,38.85,52.00,26.00,26.00,0,0,0,24.00,11.00,13.00,28.00,15.00,13.00,46.15,42.31,50.00,-0.91,-0.09,-1.55,-0.15,-0.28,-0.03,7.54,0.76,8.04,0.81,7.11,0.71,8.16,0.82,8.58,0.86,7.67,0.77,0.92,0.94,0.93,27.38,2.75,27.38,2.75,14.20,1.42,15.80,1.59,15.80,1.59,11.90,1.20,38.00,29.00,46.00,47.00,39.00,53.00,30.00,22.00,38.00,0,0,0,"Changed "" Multiplier"": 4.5 => 4.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.00,3.00,1.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-55.67,-0.56,-36.19,-0.36,-19.48,-0.19,119.29,1.19,67.93,0.68,51.36,0.51,174.96,1.75,104.13,1.04,70.84,0.71,39.51,0.40,76.97,0.77,-354.32,-3.54,-2.08,-0.90,0.68,0.65,0.73,0,0,0,0,0,89.64,47.82,41.82,60.00,32.00,28.00,0,0,0,27.00,12.00,15.00,33.00,20.00,13.00,45.00,37.50,53.57,-0.93,-0.09,-1.13,-0.11,-0.70,-0.07,4.42,0.44,5.66,0.57,3.42,0.34,5.30,0.53,5.21,0.52,5.45,0.55,0.83,1.09,0.63,27.33,2.75,27.33,2.75,7.58,0.76,11.31,1.13,7.49,0.75,11.31,1.13,15.00,14.00,16.00,11.00,12.00,10.00,18.00,15.00,23.00,0,0,0,"Changed "" Multiplier"": 4.5 => 2.5.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,2.50,3.00,1.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-44.82,-0.45,-48.51,-0.49,3.69,0.04,202.58,2.03,72.67,0.73,129.91,1.30,247.40,2.47,121.18,1.21,126.23,1.26,48.12,0.48,76.36,0.76,-354.78,-3.55,-0.95,-0.71,0.82,0.60,1.03,0,0,0,0,0,53.83,23.92,29.91,36.00,16.00,20.00,0,0,0,14.00,5.00,9.00,22.00,11.00,11.00,38.89,31.25,45.00,-1.25,-0.12,-3.03,-0.30,0.18,0.02,14.47,1.45,14.53,1.46,14.43,1.45,11.25,1.13,11.02,1.10,11.48,1.15,1.29,1.32,1.26,30.22,3.03,16.78,1.68,30.22,3.03,17.85,1.78,17.66,1.77,17.85,1.78,125.00,62.00,176.00,164.00,66.00,218.00,100.00,60.00,141.00,0,0,0,"Changed "" R:R    1:"": 1 => 1.8.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.50,3.00,1.80,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-35.44,-0.35,-15.99,-0.16,-19.45,-0.19,149.91,1.50,83.03,0.83,66.88,0.67,185.35,1.85,99.02,0.99,86.33,0.86,46.67,0.47,82.29,0.82,-355.79,-3.56,-1.24,-0.78,0.81,0.84,0.78,0,0,0,0,0,85.18,43.35,41.83,57.00,29.00,28.00,0,0,0,26.00,13.00,13.00,31.00,16.00,15.00,45.61,44.83,46.43,-0.62,-0.06,-0.55,-0.05,-0.69,-0.07,5.77,0.58,6.39,0.64,5.14,0.52,5.98,0.60,6.19,0.62,5.76,0.58,0.96,1.03,0.89,27.32,2.75,27.32,2.75,10.27,1.03,9.31,0.93,8.69,0.87,9.31,0.93,24.00,19.00,29.00,30.00,24.00,36.00,19.00,15.00,23.00,0,0,0,"Changed "" Multiplier"": 4.5 => 3.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,3.00,3.00,1.00,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
-57.20,-0.57,-52.93,-0.53,-4.27,-0.04,190.05,1.90,68.16,0.68,121.89,1.22,247.25,2.47,121.10,1.21,126.16,1.26,46.10,0.46,86.99,0.87,-355.82,-3.56,-1.10,-0.75,0.77,0.56,0.97,0,0,0,0,0,53.80,23.90,29.90,36.00,16.00,20.00,0,0,0,14.00,5.00,9.00,22.00,11.00,11.00,38.89,31.25,45.00,-1.59,-0.16,-3.31,-0.33,-0.21,-0.02,13.58,1.36,13.63,1.37,13.54,1.36,11.24,1.13,11.01,1.10,11.47,1.15,1.21,1.24,1.18,28.45,2.85,15.76,1.58,28.45,2.85,17.85,1.78,17.64,1.77,17.85,1.78,125.00,62.00,175.00,163.00,66.00,216.00,100.00,60.00,141.00,0,0,0,"Changed "" R:R    1:"": 1 => 1.7.","all",50.00,35.00,70.00,"4 hours",4.00,10.00,10.00,"Exchange","Exchange",true,0,0,true,true,true,true,true,0,0,0,0,0,0,0,0,0,0,1.00,0,10.00,0,0,0,0,0,"R:R","ATR",4.50,1.50,333.00,100.00,40.00,4.50,3.00,1.70,true,200.00,5.00,0,"SMA",15.00,1.50,"close",true,true,true,0,0,0,15.00,15.00,3.00,10.00,3.00,10.00,50.00,"EQUITY",true,10.00,1000.00,1.00,0,30.00,0,0,0,0,0,"——⤴—⤴—⤴",3.00,3.00,0,"Small",true,true
